,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
96,Paweł Dawidowicz,DF,pl Poland,25,1995,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,16bb656a
97,Kevin De Bruyne,MF,be Belgium,29,1991,4,3,271,3.0,1,2,1,0,0,0,0,0.33,0.66,1.00,0.33,1.00,0.2,0.2,2.2,2.5,0.08,0.74,0.82,0.08,0.82,Matches,e46012d4
98,Thomas Delaney,MF,dk Denmark,29,1991,6,6,457,5.1,1,0,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,0.4,0.4,0.3,0.7,0.08,0.05,0.13,0.08,0.13,Matches,fe641c1a
99,Ousmane Dembélé,FWMF,fr France,23,1997,2,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.09,0.11,0.19,0.09,0.19,Matches,b19db005
100,Merih Demiral,DF,tr Turkey,22,1998,3,2,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.01,0.05,0.04,0.05,Matches,e3cceee6
101,Jason Denayer,DF,be Belgium,25,1995,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches,47af88b8
102,Leander Dendoncker,MF,be Belgium,25,1995,3,2,149,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches,5a7301ae
103,Memphis Depay,FW,nl Netherlands,26,1994,4,4,325,3.6,2,2,1,1,1,0,0,0.55,0.55,1.11,0.28,0.83,2.3,1.6,1.1,2.6,0.65,0.29,0.94,0.44,0.73,Matches,8f696594
104,İbrahim Halil Dervişoğlu,MF,tr Turkey,21,1999,2,0,31,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.12,0.00,0.12,0.12,0.12,Matches,9d8cf204
105,Giovanni Di Lorenzo,DF,it Italy,27,1993,6,5,585,6.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.8,0.09,0.04,0.13,0.09,0.13,Matches,230a2fac
106,Rúben Santos Gato Alves Dias,DF,pt Portugal,23,1997,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,31c69ef1
107,Lucas Digne,DF,fr France,27,1993,2,1,96,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.02,0.16,0.17,0.02,0.17,Matches,1b84dbe1
108,Stole Dimitrievski,GK,mk North Macedonia,27,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches,fc70e345
109,Igor Diveev,DF,ru Russia,21,1999,3,2,225,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,65ad4d98
110,Jeremy Doku,MF,be Belgium,18,2002,2,2,165,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.10,0.13,0.23,0.10,0.23,Matches,fffea3e5
111,Kasper Dolberg,FW,dk Denmark,23,1997,4,3,224,2.5,3,0,3,0,0,0,0,1.21,0.00,1.21,1.21,1.21,0.8,0.8,0.1,0.9,0.31,0.03,0.34,0.31,0.34,Matches,cc83b74d
112,Gianluigi Donnarumma,GK,it Italy,21,1999,7,7,718,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,08f5afaa
113,Artem Dovbyk,FW,ua Ukraine,23,1997,1,0,15,0.2,1,0,1,0,0,1,0,6.00,0.00,6.00,6.00,6.00,0.7,0.7,0.1,0.8,4.13,0.64,4.77,4.13,4.77,Matches,5b847bb0
114,Aleksandar Dragović,DF,at Austria,29,1991,4,4,338,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,6fd8a334
115,Martin Dúbravka,GK,sk Slovakia,32,1989,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3a949a25
116,Ondrej Duda,FW,sk Slovakia,26,1994,3,3,224,2.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.02,0.06,0.09,0.02,0.09,Matches,79ca3e23
117,Denzel Dumfries,DF,nl Netherlands,24,1996,4,4,315,3.5,2,0,2,0,0,1,0,0.57,0.00,0.57,0.57,0.57,1.9,1.9,0.3,2.1,0.54,0.07,0.61,0.54,0.61,Matches,481c9ece
118,Michal Ďuriš,FWMF,sk Slovakia,32,1988,3,0,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.16,0.00,0.16,0.16,0.16,Matches,2cd081e3
119,Lyndon Dykes,FW,sct Scotland,25,1995,3,3,258,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.2,1.2,0.35,0.06,0.41,0.35,0.41,Matches,cd92357a
120,Georgiy Dzhikiya,DF,ru Russia,27,1993,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e7ef333b
121,Artem Dzyuba,FW,ru Russia,32,1988,3,3,264,2.9,1,1,0,1,1,0,0,0.34,0.34,0.68,0.00,0.34,1.0,0.3,0.4,0.6,0.35,0.13,0.48,0.09,0.22,Matches,448a3608
122,Albin Ekdal,MF,se Sweden,31,1989,4,4,387,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.10,0.11,0.01,0.11,Matches,f503ea63
123,Eljif Elmas,MFFW,mk North Macedonia,21,1999,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.13,0.01,0.14,0.13,0.14,Matches,cf007308
124,Nico Elvedi,DF,ch Switzerland,24,1996,5,5,510,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04,Matches,48035304
125,Breel-Donald Embolo,FW,ch Switzerland,23,1997,5,5,365,4.1,1,0,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,1.1,1.1,0.6,1.7,0.27,0.15,0.42,0.27,0.42,Matches,0b4f388a
126,Christian Dannemann Eriksen,MF,dk Denmark,28,1992,1,1,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.17,0.23,0.40,0.17,0.40,Matches,980522ec
127,Christian Fassnacht,FWMF,ch Switzerland,27,1993,2,0,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0aeeed3f
128,João Félix Sequeira,FW,pt Portugal,21,1999,1,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.29,0.00,0.29,0.29,0.29,Matches,8aafd64f
129,Bruno Miguel Borges Fernandes,MF,pt Portugal,26,1994,4,2,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.9,0.04,0.34,0.38,0.04,0.38,Matches,507c7bdf
130,Mário Figueira Fernandes,DF,ru Russia,30,1990,3,3,205,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches,7c1a0c67
131,Attila Fiola,DF,hu Hungary,30,1990,3,3,264,2.9,1,0,1,0,0,1,0,0.34,0.00,0.34,0.34,0.34,0.4,0.4,0.0,0.4,0.12,0.00,0.12,0.12,0.12,Matches,bb17ccd0
132,Alessandro Florenzi,DF,it Italy,29,1991,2,1,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e288d4b3
133,Philip Foden,FWMF,eng England,20,2000,3,2,158,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.09,0.08,0.17,0.09,0.17,Matches,ed1e53f3
134,James Forrest,DF,sct Scotland,29,1991,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.02,0.00,1.02,1.02,1.02,Matches,e73659d3
135,Emil Peter Forsberg,MF,se Sweden,29,1991,4,4,369,4.1,4,0,3,1,1,1,0,0.98,0.00,0.98,0.73,0.73,1.7,1.0,0.2,1.2,0.42,0.05,0.47,0.23,0.29,Matches,9a2e0ccc
136,Marcus Forss,FW,fi Finland,21,1999,2,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,82c215a0
137,Przemysław Frankowski,DFFW,pl Poland,25,1995,3,0,85,0.9,0,1,0,0,0,0,0,0.00,1.06,1.06,0.00,1.06,0.0,0.0,0.7,0.7,0.00,0.73,0.73,0.00,0.73,Matches,00a8d210
138,Ryan Fraser,MF,sct Scotland,26,1994,2,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.18,0.47,0.66,0.18,0.66,Matches,d56543a0
139,Remo Freuler,MF,ch Switzerland,28,1992,5,5,459,5.1,0,1,0,0,0,0,1,0.00,0.20,0.20,0.00,0.20,0.0,0.0,0.7,0.7,0.00,0.15,0.15,0.00,0.15,Matches,98d2c2c4
140,Cody Mathès Gakpo,MF,nl Netherlands,21,1999,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1971591f
141,Eric García Martret,DF,es Spain,20,2001,3,3,248,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,2bed3eab
142,Mario Gavranović,FWMF,ch Switzerland,31,1989,5,0,155,1.7,1,0,1,0,0,2,0,0.58,0.00,0.58,0.58,0.58,0.2,0.2,0.2,0.4,0.11,0.11,0.22,0.11,0.22,Matches,aad9c3f3
143,Billy Gilmour,MF,sct Scotland,19,2001,1,1,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,df10e27c
144,Matthias Ginter,DF,de Germany,27,1994,4,4,344,3.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.5,0.12,0.01,0.12,0.12,0.12,Matches,f521b80a
145,Olivier Giroud,FW,fr France,34,1986,2,0,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.39,0.19,0.58,0.39,0.58,Matches,16ceb862
146,Kamil Glik,DF,pl Poland,32,1988,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.02,0.02,0.04,0.02,0.04,Matches,c6056d58
147,Serge Gnabry,FW,de Germany,25,1995,4,3,249,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.07,0.05,0.12,0.07,0.12,Matches,88e357ef
148,Aleksandr Golovin,MFFW,ru Russia,24,1996,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.10,0.07,0.17,0.10,0.17,Matches,3708e9fa
149,Leon Goretzka,MFFW,de Germany,25,1995,3,1,141,1.6,1,0,1,0,0,0,0,0.64,0.00,0.64,0.64,0.64,0.4,0.4,0.1,0.5,0.23,0.07,0.30,0.23,0.30,Matches,cc86b9a3
150,Robin Gosens,DF,de Germany,26,1994,4,4,317,3.5,1,1,1,0,0,1,0,0.28,0.28,0.57,0.28,0.57,0.9,0.9,1.1,2.0,0.25,0.31,0.56,0.25,0.56,Matches,2d970560
151,Ryan Gravenberch,MF,nl Netherlands,18,2002,2,1,107,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.01,0.07,0.07,0.07,Matches,b8e740fb
152,Jack Grealish,FWMF,eng England,25,1995,5,1,176,2.0,0,2,0,0,0,0,0,0.00,1.02,1.02,0.00,1.02,0.1,0.1,1.0,1.1,0.07,0.49,0.55,0.07,0.55,Matches,b0b4fd3e
153,Michael Gregoritsch,FWMF,at Austria,26,1994,3,1,109,1.2,1,0,1,0,0,0,0,0.83,0.00,0.83,0.83,0.83,0.4,0.4,0.2,0.6,0.37,0.16,0.52,0.37,0.52,Matches,8e235926
154,Ján Greguš,FW,sk Slovakia,30,1991,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7d974435
155,Antoine Griezmann,MFFW,fr France,29,1991,4,4,353,3.9,1,0,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,1.0,1.0,0.6,1.7,0.26,0.16,0.42,0.26,0.42,Matches,df69b544
156,Florian Grillitsch,MF,at Austria,25,1995,3,2,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,ffbbc83b
157,Raphaël Adelino José Guerreiro,DF,pt Portugal,27,1993,4,4,360,4.0,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,0.2,0.2,0.2,0.3,0.04,0.05,0.09,0.04,0.09,Matches,048a1cbc
158,Péter Gulácsi,GK,hu Hungary,30,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,bcb2ccd8
159,İlkay Gündoğan,MF,de Germany,30,1990,3,3,219,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches,819b3158
160,Chris Gunter,DF,wls Wales,31,1989,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07,Matches,303a53e1
161,Joško Gvardiol,DF,hr Croatia,19,2002,4,4,369,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.12,0.01,0.13,0.12,0.13,Matches,5ad50391
162,Marcel Halstenberg,DF,de Germany,29,1991,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.07,0.39,0.45,0.07,0.45,Matches,8ff2354e
163,Marek Hamšík,MF,sk Slovakia,33,1987,3,3,255,2.8,0,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,0.1,0.1,0.2,0.3,0.05,0.05,0.10,0.05,0.10,Matches,e6ad16b2
164,Dávid Hancko,DF,sk Slovakia,23,1997,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.33,0.00,1.33,1.33,1.33,Matches,4fac8f81
165,Grant Hanley,DF,sct Scotland,29,1991,3,3,212,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.10,0.00,0.10,0.10,0.10,Matches,e9254eec
166,Lukáš Haraslín,FW,sk Slovakia,24,1996,3,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.04,0.03,0.07,0.04,0.07,Matches,5c397195
167,Ferhan Hasani,FW,mk North Macedonia,30,1990,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,73f4cba4
168,Kai Havertz,FWMF,de Germany,21,1999,4,4,301,3.3,2,0,2,0,0,1,0,0.60,0.00,0.60,0.60,0.60,2.4,2.4,0.9,3.3,0.72,0.28,1.00,0.72,1.00,Matches,fed7cb61
169,Eden Hazard,MF,be Belgium,30,1991,4,2,227,2.5,0,1,0,0,0,0,0,0.00,0.40,0.40,0.00,0.40,0.3,0.3,0.1,0.5,0.13,0.05,0.18,0.13,0.18,Matches,a39bb753
170,Thorgan Hazard,DF,be Belgium,27,1993,4,4,358,4.0,2,0,2,0,0,1,0,0.50,0.00,0.50,0.50,0.50,0.8,0.8,0.0,0.8,0.21,0.01,0.21,0.21,0.21,Matches,50871bcc
171,Filip Helander,DFMF,se Sweden,27,1993,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,27f0ddef
172,Jordan Brian Henderson,MF,eng England,30,1990,5,0,154,1.7,1,0,1,0,0,0,0,0.58,0.00,0.58,0.58,0.58,0.3,0.3,0.0,0.3,0.15,0.00,0.15,0.15,0.15,Matches,935e6b8f
173,Jack Hendry,DF,sct Scotland,25,1995,1,1,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.12,0.00,0.12,0.12,0.12,Matches,ffed43e3
174,Lucas Hernández Pi,DF,fr France,24,1996,2,2,135,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c3ee18ef
175,Martin Hinteregger,DF,at Austria,28,1992,4,4,390,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches,080440a4
176,Adam Hložek,FW,cz Czech Republic,18,2002,4,0,80,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.10,0.25,0.35,0.10,0.35,Matches,5521f419
177,Tomáš Holeš,MF,cz Czech Republic,27,1993,5,4,298,3.3,1,1,1,0,0,0,0,0.30,0.30,0.60,0.30,0.60,0.5,0.5,0.2,0.7,0.16,0.05,0.21,0.16,0.21,Matches,e03c2d97
178,Lukáš Hrádecký,GK,fi Finland,31,1989,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ad3389d5
179,Jakub Hromada,MF,sk Slovakia,24,1996,2,2,123,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ae3e6d85
180,Patrik Hrošovský,MF,sk Slovakia,28,1992,2,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f2d063ec
181,Tomáš Hubočan,DF,sk Slovakia,35,1985,3,3,263,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.05,0.05,0.00,0.05,Matches,97b87472
182,Mats Hummels,DF,de Germany,32,1988,4,4,332,3.7,0,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,0.4,0.4,0.2,0.6,0.12,0.04,0.16,0.12,0.16,Matches,05d548d8
183,Pierre-Emile Højbjerg,MF,dk Denmark,25,1995,6,6,570,6.3,0,3,0,0,1,0,0,0.00,0.47,0.47,0.00,0.47,1.0,0.2,0.7,0.9,0.15,0.11,0.27,0.03,0.15,Matches,8b04d6c1
184,Stefan Ilsanker,MFFW,at Austria,31,1989,3,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8494acc4
185,Ciro Immobile,FW,it Italy,30,1990,6,6,440,4.9,2,1,2,0,0,0,0,0.41,0.20,0.61,0.41,0.61,1.7,1.7,0.6,2.3,0.34,0.12,0.46,0.34,0.46,Matches,4431aed2
186,Lorenzo Insigne,FW,it Italy,29,1991,6,6,507,5.6,2,0,2,0,0,1,0,0.36,0.00,0.36,0.36,0.36,1.3,1.3,1.2,2.5,0.23,0.22,0.45,0.23,0.45,Matches,2f557579
187,Alexander Isak,FW,se Sweden,21,1999,4,4,321,3.6,0,2,0,0,0,0,0,0.00,0.56,0.56,0.00,0.56,1.0,1.0,1.5,2.5,0.27,0.43,0.70,0.27,0.70,Matches,8e92be30
188,Luka Ivanušec,FWMF,hr Croatia,22,1998,3,0,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,29fbdc88
189,Daniel James,MFFW,wls Wales,23,1997,4,4,313,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.7,0.04,0.15,0.19,0.04,0.19,Matches,c931d9f9
190,Reece James,DF,eng England,21,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.09,0.33,0.43,0.09,0.43,Matches,1265a93a
191,Jakub Jankto,FWMF,cz Czech Republic,25,1996,5,3,246,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.07,0.17,0.25,0.07,0.25,Matches,1ea5f91c
192,Fredrik Jensen,DFFW,fi Finland,23,1997,2,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3eeb80e0
193,Mathias Jensen,MFFW,dk Denmark,25,1996,6,0,146,1.6,0,1,0,0,0,1,0,0.00,0.62,0.62,0.00,0.62,0.1,0.1,0.2,0.3,0.05,0.14,0.20,0.05,0.20,Matches,0f134faf
